vous	v u
inépuisable	i n e p ɥ i z a b l
l'amènera	l a m ɛ n ʁ a
irascible	i ʁ a s i b l
l'ancienne	l ɑ̃ s j ɛ n
l'angoisse	l ɑ̃ ɡ w a s
irez	i ʁ e
intrigue	ɛ̃ t ʁ i ɡ
introduire	ɛ̃ t ʁ ɔ d ɥ i ʁ
intrépides	ɛ̃ t ʁ e p i d
intuitions	ɛ̃ t ɥ i s j ɔ̃
intéressant	ɛ̃ t e ʁ ɑ̃
intéressant	ɛ̃ t e ʁ ɛ s ɑ̃
intéressantes	ɛ̃ t e ʁ ɑ̃ t
intéressantes	ɛ̃ t e ʁ ɛ s ɑ̃ t
intéressé	ɛ̃ t e ʁ ɛ s e
irions	i ʁ j ɔ̃
ironique	i ʁ ɔ ɲ i k
l'antichambre	l ɑ̃ t i ʃ ɑ̃ b ʁ
ironiste	i ʁ ɔ ɲ i s t
l'antée	l ɑ̃ t e
intérieures	ɛ̃ t e ʁ j œ ʁ
irrespirable	i ʁ ɛ s p i ʁ a b l
irritation	i ʁ i t a s j ɔ̃
irritée	i ʁ i t e
l'anxiété	l ɑ̃ k s j e t e
intérêts	ɛ̃ t e ʁ ɛ
l'apercevrait	l a p ɛ ʁ s ə v ʁ ɛ
irréfutable	i ʁ e f y t a b l
l'apparition	l a p a ʁ i s j ɔ̃
inutilement	i n y t i l m ɑ̃
irréfutables	i ʁ e f y t a b l
l'appelle	l a p ɛ l
irrémédiable	i ʁ e m e d j a b l
l'appellerait	l a p ɛ l ʁ ɛ
l'appétit	l a p e t i
invenerunt	ɛ̃ v ɑ̃ ɛ ʁ ɛ̃
invenerunt	ɛ̃ v ə n ɛ ʁ ɛ̃
invenerunt	ɛ̃ v ə ʁ ɛ̃
invenerunt	ɛ̃ v ɛ n ɛ ʁ ɛ̃
invenerunt	ɛ̃ v ɛ ʁ ɛ̃
l'aprèsmidi	l a p ʁ ɛ m i d i
l'archange	l a ʁ k ɑ̃ ʒ
l'archange	l a ʁ ʃ ɑ̃ ʒ
inventé	ɛ̃ v ɑ̃ t e
l'architecture	l a ʁ ʃ i t ɛ k t y ʁ
irrésistible	i ʁ e z i s t i b l
investigations	ɛ̃ v ɛ s t i ɡ a s j ɔ̃
l'argent	l a ʁ ʒ
irrésistibles	i ʁ e z i s t i b l
l'armée	l a ʁ m e
isolement	i z ɔ l m ɑ̃
l'arrestation	l a ʁ ɛ s t a s j ɔ̃
isolément	i z ɔ l e m ɑ̃
involontaire	ɛ̃ v ɔ l ɔ̃ t ɛ ʁ
l'arrièregoût	l a ʁ i j ɛ ʁ ə ɡ u
l'arrièregoût	l a ʁ i j ɛ ʁ ɡ u
l'arrièregoût	l a ʁ j ɛ ʁ ə ɡ u
l'arrièregoût	l a ʁ j ɛ ʁ ɡ u
inébranlablement	i n e b ʁ ɑ̃ l a b l ə m ɑ̃
iv	i f
iv	i v
l'arsenal	l a ʁ s ə n a l
ira	i ʁ a
l'artillerie	l a ʁ t i j ʁ i
l'artillerie	l s a ʁ t i j ʁ i
irait	i ʁ ɛ
l'artilleur	l a ʁ t i j œ ʁ
l'artilleur	l s a ʁ t i j œ ʁ
ivrogne	i v ʁ ɔ ɲ
irascibles	i ʁ a s i b l
ivrognes	i v ʁ ɔ ɲ
j'adore	ʒ a d ɔ ʁ
j'adore	ʒ d ɔ ʁ
l'assaillant	l a a j ɑ̃
l'assaillant	l a j ɑ̃
j'aie	ʒ ɛ
ironiquement	i ʁ ɔ ɲ i k m ɑ̃
l'assassin	l a s ɛ̃
j'appelle	ʒ a p ɛ l
irritable	i ʁ i t a b l
l'assaut	l a s o
l'assaut	l o
l'assaut	l s a s o
l'assaut	l s o
j'aurai	ʒ o ʁ e
j'aurai	ʒ o ʁ ɛ
j'aurai	ʒ ɔ ʁ e
irritant	i ʁ i t ɑ̃
j'emplis	ʒ ɑ̃ p ʎ i
irrité	i ʁ i t e
l'assombrissaient	l ɔ̃ b ʁ i s ɛ
j'entre	ʒ ɑ̃ t ʁ
l'atome	l a t ɔ m
l'atome	l t ɔ m
l'attache	l a t a ʃ
l'attend	l a t ɑ̃
irruption	i ʁ y p s j ɔ̃
l'attendais	l a t ɑ̃ d ɛ
j'entrerais	ʒ ɑ̃ t ʁ ə ʁ ɛ
l'attention	l a s j ɔ̃
l'attention	l a t a s j ɔ̃
l'attention	l a t ɑ̃ s j ɔ̃
l'attention	l t ɑ̃ s j ɔ̃
l'attention	l ɛ s t a s j ɔ̃
j'habitais	ʒ a b i t ɛ
l'atteste	l a t t
l'atteste	l a t ɛ s t
l'atteste	l t
l'atteste	l t ɛ s t
j'écrivais	ʒ e k ʁ i v ɛ
irrémédiablement	i ʁ e m e d j a b l ə m ɑ̃
l'attitude	l a t i t y d
jacob	ʒ a k ɔ b
l'aube	l o b
jaillirent	ʒ a j i ʁ
irrésolu	i ʁ e z ɔ l y
l'aubier	l o b j e
jalousie	ʒ a l u z i
l'augmentation	l o ɡ m ɑ̃ t a s j ɔ̃
l'augmentation	l ɔ ɡ m ɑ̃ t a s j ɔ̃
jambe	ʒ ɑ̃ b
l'aurore	l o ʁ ɔ ʁ
l'aurore	l ɔ ʁ ɔ ʁ
isolé	i z ɔ l e
l'autel	l o t ɛ l
l'autel	l ɔ t ɛ l
janvier	ʒ ɑ̃ v j e
l'autorité	l ɔ t ɔ ʁ i t e
l'autre	l o t ʁ
l'autre	l ɔ t ʁ
jardins	ʒ a ʁ d ɛ̃
itinéraire	i t i n e ʁ ɛ ʁ
l'avaient	l a v ɛ
ivrognerie	i v ʁ ɔ ɲ ə ʁ i
j'aime	ʒ m
j'aime	ʒ ɛ m
j'arrange	ʒ a ʁ ɑ̃ ʒ
j'aurais	ʒ o ʁ ɛ
j'aurais	ʒ ɔ ʁ ɛ
jasent	ʒ
jasent	ʒ a z
jasent	ʒ z
l'avant	l a v ɑ̃
jasmins	ʒ a s m ɛ̃
j'entende	ʒ s ɑ̃ t ɑ̃ d
j'entende	ʒ ɑ̃ t ɑ̃ d
l'avanttrain	l a v t ʁ ɛ̃
jaunes	ʒ o n
j'espère	ʒ ɛ s p ɛ ʁ
l'avenir	l a v ɲ i ʁ
j'existe	ʒ ɛ k s i s t
l'averse	l a v ɛ ʁ s
j'octroie	ʒ ɔ k t ʁ w a
l'avertit	l a v ɛ ʁ t i
javottes	ʒ a v ɔ t
jabot	ʒ a b o
l'aveugle	l a v œ ɡ l
jabote	ʒ a b ɔ t
l'aveuglement	l a v œ ɡ l ə m ɑ̃
jeanniot	ʒ a ɲ o
jeter	ʒ ə t e
jetons	ʒ ə t ɔ̃
l'avoir	l a v w a ʁ
jetterait	ʒ ɛ t ʁ ɛ
l'avortement	l a v ɔ ʁ t ə m ɑ̃
jacobin	ʒ a k ɔ b ɛ̃
jeudi	ʒ ø d i
l'aïeul	l a j œ l
l'eau	l o
jeunes	ʒ œ n
l'effacement	l e f a s m ɑ̃
l'effet	l ɛ f ɛ
jeûneurs	ʒ ɛ̃ n œ ʁ
l'effondrement	l ɛ f ɔ̃ d ʁ ə m ɑ̃
l'effroi	l e f ʁ w a
l'embranchement	l ɑ̃ b ʁ ɑ̃ ʃ m ɑ̃
l'empierrement	l ɑ̃ p j ɛ ʁ m ɑ̃
l'emporta	l ɑ̃ p ɔ ʁ t a
l'empreinte	l ɑ̃ p ʁ ɛ̃ t
joieslà	ʒ w a l a
joieslà	ʒ w a ɛ l a
joieslà	ʒ w ɑ l a
joieslà	ʒ w ɑ s l a
joieslà	ʒ w ɛ s l a
l'encadrement	l ɑ̃ k a d ʁ m ɑ̃
l'encadrement	l ɑ̃ k a d ʁ ə m ɑ̃
l'encadrement	l ɑ̃ k ɑ d ʁ ə m ɑ̃
jointe	ʒ w ɛ̃ t
l'enchaînement	l ɑ̃ ʃ ɛ n m ɑ̃
jointes	ʒ w ɛ̃ t
joliment	ʒ ɔ ʎ i m ɑ̃
l'encorbellement	l ɑ̃ k ɔ ʁ b ɛ l m ɑ̃
jouais	ʒ w ɛ
l'enfance	l ɑ̃ f ɑ̃ s
joubert	ʒ u b ɛ ʁ
l'enfant	l ɑ̃ f ɑ̃
l'enfer	l ɑ̃ f ɛ ʁ
l'engrais	l ɑ̃ ɡ ʁ ɛ
jouer	ʒ w e
l'enivrement	l z ɑ̃ ɲ i v ʁ ə m ɑ̃
l'enivrement	l ɑ̃ ɲ i v ʁ ə m ɑ̃
l'enivrement	l ɛ ɲ i ʁ m ɑ̃
l'enlisement	l ɑ̃ ʎ i z m ɑ̃
jouez	ʒ w e
l'enseigne	l ɑ̃ s e ɲ
l'enseigne	l ɑ̃ s ɛ ɲ
jouissance	ʒ w i s ɑ̃ s
l'ensemble	l ɑ̃ s ɑ̃ b l
jouissiez	ʒ w i s j e
l'entablement	l ɑ̃ t a b l ə m ɑ̃
jeanc'est	ʒ i n s ɛ
jeanc'est	ʒ i n ɛ
l'entendait	l ɑ̃ t ɑ̃ d ɛ
jour	ʒ u ʁ
jeta	ʒ ə t a
l'entendre	l t ɑ̃ d ʁ
l'entendre	l ɑ̃ t ɑ̃ d ʁ
l'enterrent	l ɑ̃ t e ʁ
l'enterrent	l ɑ̃ t ɛ ʁ
jetant	ʒ ə t ɑ̃
l'entouraient	l ɑ̃ t u ʁ ɛ
l'entrebâillement	l ɑ̃ t ʁ ə b ɑ j m ɑ̃
journée	ʒ u ʁ n e
jette	ʒ ɛ t
l'enveloppait	l ɑ̃ v l ɔ p ɛ
jours	ʒ u ʁ
jetât	ʒ ə t ɑ
l'enveloppe	l ɑ̃ v l ɔ p
joursci	ʒ u ʁ s i
jeté	ʒ ə t e
l'erreur	l ɛ ʁ œ ʁ
jovialité	ʒ ɔ v j a ʎ i t e
jetés	ʒ ə t e
joyeux	ʒ w a j ø
l'escalier	l ɛ s k a ʎ e
jubilons	ʒ y b i l ɔ̃
l'escarpement	l ɛ s k a ʁ p m ɑ̃
judiciaire	ʒ y d i j ɛ ʁ
judiciaires	ʒ y d i j ɛ ʁ
jugeait	ʒ y ʒ ɛ
job	ʒ ɔ b
jugeant	ʒ y ʒ ɑ̃
l'esclave	l k l a v
l'esclave	l ɛ s k l a v
jugement	ʒ y ʒ m ɑ̃
l'escroquerie	l k ʁ ɔ k ʁ i
l'espion	l p j ɔ̃
l'espion	l ɛ s p j ɔ̃
juin	ʒ w ɛ̃
juin	ʒ y ɛ̃
juin	ʒ ɛ̃
juin	ʒ ɥ ɛ̃
l'esplanade	l p l a n a d
l'esplanade	l ɛ s p l a n a d
joins	ʒ w ɛ̃
jolies	ʒ ɔ ʎ i
joncha	ʒ ɔ̃ ʃ a
junot	ʒ y n o
jupon	ʒ y p ɔ̃
joséphine	ʒ o z e f i n
jurassique	ʒ y ʁ a s i k
jurons	ʒ y ʁ ɔ̃
jouait	ʒ w ɛ
jouent	ʒ u
jouent	ʒ w
jouir	ʒ w i ʁ
joujoux	ʒ u ʒ u
l'esprit	l ɛ s p ʁ i
jusqu'au	ʒ y s k o
l'essai	l
l'essai	l e
l'essai	l s e
l'essai	l ɛ s e
l'essieu	l s j ø
l'essieu	l ø
l'essieu	l ɛ s j ø
jusqu'ici	ʒ y s c i s i
l'estomac	l ɛ s t ɔ m a k
l'europe	l ø ʁ ɔ p
l'exact	l ɛ ɡ
l'exact	l ɛ ɡ z a
l'exact	l ɛ ɡ ɛ
jusquoù	ʒ y s k o u
l'examina	l ɛ ɡ z a m i n a
jusquà	ʒ y s k o a
l'excusât	l ɛ k s k y z ɑ
l'excès	l ɛ k s ɛ
l'exil	l ɛ k s i
l'exil	l ɛ ɡ z i l
l'existence	l ɛ ɡ z i s t ɑ̃ s
joué	ʒ w e
l'expression	l ɛ k s p ʁ ɛ s j ɔ̃
justesse	ʒ y s t ɛ s
jubilation	ʒ y b i l a s j ɔ̃
l'extase	l ɛ k s t a z
justicier	ʒ y s t i s j e
l'extinction	l ɛ k s t ɛ̃ k s j ɔ̃
justifié	ʒ y s t i f j e
juge	ʒ y ʒ
l'extrémité	l ɛ k s t ʁ e m i t e
justin	ʒ y s t ɛ̃
l'eût	l y
juxtaposition	ʒ y k s t a p o z i s j ɔ̃
jugea	ʒ y ʒ a
l'eûtil	l t i
l'eûtil	l y t i
l'eûtil	l y t i l
l'eûtil	l ø t i
l'eûtil	l ø t i l
jaccepte	ʒ a k s ɛ p t
jugeaient	ʒ y ʒ ɛ
l'habit	l a b i
l'habit	l a b i t
jadmets	ʒ a d m ɛ
jaffirme	ʒ a f i ʁ m
juif	ʒ ɥ i f
jaie	ʒ ɛ
l'habiter	l a b i t e
l'habitude	l a b i t y d
jaimerais	ʒ ɛ m ə ʁ ɛ
jaimerais	ʒ ɛ m ʁ ɛ
l'herbe	l ɛ ʁ b
japerçois	ʒ a p ɛ ʁ s w a
l'heure	l œ ʁ
japporte	ʒ a p ɔ ʁ t
jupe	ʒ y p
jattends	ʒ a t ɑ̃
l'histoire	l i s t w a ʁ
jaurai	ʒ o ʁ e
jaurai	ʒ o ʁ ɛ
l'hiver	l i v e
juratil	ʒ y ʁ a s i
juratil	ʒ y ʁ a s i l
juratil	ʒ y ʁ a t i
juratil	ʒ y ʁ a t i l
javisai	ʒ a v i z e
l'homme	l ɔ m
jen	ʒ ɛ n
l'hommearmé	l ɔ m a ʁ m e
l'hommearmé	l ɔ m i ʁ m e
l'hommearmé	l ɔ m ʁ m e
juron	ʒ y ʁ ɔ̃
jentreprends	ʒ ɑ̃ t ʁ ə p ʁ ɑ̃
jexpédie	ʒ ɛ k s p e d i
jus	ʒ y
l'honneur	l ɔ n œ ʁ
l'horizon	l ɔ ʁ i z ɔ̃
l'horloge	l ɔ ʁ l ɔ ʒ
l'horreur	l ɔ ʁ œ ʁ
jusqu'en	ʒ y s k ɑ̃
l'humanité	l y m a ɲ i t e
jose	ʒ o z
jusque	ʒ y s k
l'humiliation	l u m i ʎ a s j ɔ̃
l'humiliation	l y m i ʎ a s j ɔ̃
l'hyménée	l i m e n e
jéchappe	ʒ e ʃ a p
jéteignais	ʒ e t ɛ ɲ ɛ
kilomètre	c i l ɔ m ɛ t ʁ
l'hôtel	l ɔ t ɛ l
jusquaux	ʒ y s k o
kiosque	c ɔ s k
l'idole	l i d ɔ l
l'idole	ʎ i d ɔ l
l	l
l	ɛ l
l'idéal	l i d e a l
l'idéal	ʎ i d e a l
l'	l
l'a	l a
l'idée	l i d e
l'idée	ʎ i d e
justes	ʒ y s t
l'aton	l a t ɔ̃
l'ignore	l i ɲ ɔ ʁ
l'ignore	ʎ i ɲ ɔ ʁ
l'abattoir	l a b a t w a ʁ
l'abattoir	l a b t w a ʁ
l'abattoir	l s a b t w a ʁ
l'ignorent	l i ɲ ɔ ʁ
l'ignorent	ʎ i ɲ ɔ ʁ
justicelà	ʒ y s t i a
justicelà	ʒ y s t i s l a
justicelà	ʒ y s t i s ə l a
l'abondance	l a b ɔ̃ d ɑ̃ s
l'imitation	l i m i t a s j ɔ̃
l'imitation	ʎ i m i t a s j ɔ̃
l'abreuvoir	l a b ʁ œ v w a ʁ
l'immensité	l i m ɑ̃ s i t e
l'immensité	ʎ i m ɑ̃ s i t e
l'absolu	l a p s ɔ l y
l'immuable	l i m ɥ a b l
l'immuable	ʎ i m ɥ a b l
jésuite	ʒ e s ɥ i t
l'absorption	l a p s ɔ ʁ p s j ɔ̃
l'impatientait	l ɛ̃ p a s j ɑ̃ t ɛ
l'impatientait	l ɛ̃ p a s t ɛ
jaccomplis	ʒ a k ɔ̃ p ʎ i
l'important	l ɛ̃ p ɔ ʁ t ɑ̃
jadresse	ʒ a d ʁ ɛ s
l'accent	l a k s
l'accent	l a k s e
l'accent	l a k s e s
l'accent	l a k s e s ɑ̃
l'accent	l a k s e ɛ s ɑ̃
l'accent	l a k s ɑ̃
l'accent	l k s ɑ̃
l'impossible	l ɛ̃ p ɔ s i b l
jallais	ʒ a l ɛ
jallume	ʒ a l y m
l'imprévu	l ɛ̃ p ʁ e v y
l'acceptation	l a k s e p t a s j ɔ̃
l'acceptation	l a k s e s ɛ p t a s j ɔ̃
l'acceptation	l a k s ɛ p t a s j ɔ̃
l'impudeur	l ɛ̃ p y d œ ʁ
jarrive	ʒ a ʁ i v
l'acception	l a k p s j ɔ̃
l'acception	l a k s e p s j ɔ̃
l'impériale	l ɛ̃ p ɛ ʁ j a l
l'accouchement	l k u ʃ m ɑ̃
l'incalculable	l ɛ̃ k a l k y l a b l
jaurais	ʒ o ʁ ɛ
l'accueillit	l k œ j i
l'incommutable	l ɛ̃ k ɔ m y t a b l
javoue	ʒ a v u
jentends	ʒ t ɑ̃
jentends	ʒ ɑ̃
jentends	ʒ ɑ̃ t ɑ̃
l'inconnu	l ɛ̃ k ɔ n y
l'achevait	l a k a ʃ v ɛ
l'achevait	l a tʃ v ɛ
l'achevait	l a ʃ v ɛ
l'achevait	l ʃ v ɛ
jespère	ʒ ɛ s p ɛ ʁ
jexaminai	ʒ e ɡ z a m i n e
jexaminai	ʒ ɛ ɡ z a m i n e
l'incorruptibilité	l ɛ̃ k ɔ ʁ y p t i b i ʎ i t e
l'acte	l a k t
jignore	ʒ i ɡ n ɔ ʁ
jignore	ʒ i ɲ ɔ ʁ
jinterrogeais	ʒ ɛ̃ t ɛ ʁ ɔ ʒ ɛ
jéprouve	ʒ e p ʁ u v
jéteignis	ʒ e t ɛ ɲ e
khorassan	k ɔ ʁ a s a n
khorassan	k ɔ ʁ a s ɑ̃
l'action	l a k s j ɔ̃
kléber	k l e b e
l'indiquer	l ɛ̃ d i c e
l'admettons	l a d m ɛ t ɔ̃
l'abandon	l a b ɑ̃ d ɔ̃
l'indiscret	l ɛ̃ d i s k ʁ ɛ
l'admirer	l a d m i ʁ e
l'admirer	l d m i ʁ e
l'abdication	l a b d i k a s j ɔ̃
l'indulgence	l ɛ̃ d y l ʒ ɑ̃ s
l'adolescence	l a d ɔ l ɛ s ɑ̃ s
l'adolescence	l d ɔ l ɛ s ɑ̃ s
l'inextricable	l n ɛ k s t ʁ i k a b l
l'inextricable	l ɛ̃ ɛ k s t ʁ i k a b l
l'abréger	l a b ʁ e ʒ e
l'abréger	l a b ʁ ɛ ʒ e
l'infiltration	l ɛ̃ f i l t ʁ a s j ɔ̃
l'affreux	l a f ʁ ø
l'informe	l ɛ̃ f ɔ ʁ m
l'inférieur	l ɛ̃ f e ʁ j œ ʁ
l'ingratitude	l ɛ̃ ɡ ʁ a t i t y d
l'ingénieur	l ɛ̃ ʒ e ɲ œ ʁ
l'injure	l ɛ̃ ʒ y ʁ
l'injuste	l ɛ̃ ʒ y s t
l'inondait	l i n ɔ̃ d ɛ
l'inondait	ʎ i n ɔ̃ d ɛ
l'insomnie	l ɛ̃ s ɔ m ɲ i
l'inspecteur	l ɛ̃ s p ɛ k t œ ʁ
l'instant	l ɛ̃ s t ɑ̃
l'instinct	l ɛ̃ s t ɛ̃
l'instruction	l ɛ̃ s t ʁ y k s j ɔ̃
l'insurrection	l ɛ̃ s y ʁ ɛ k s j ɔ̃
l'intelligence	l ɛ̃ t e ʎ i ʒ ɑ̃ s
l'interruption	l ɛ̃ t ɛ ʁ y p s j ɔ̃
l'introduisit	l ɛ̃ t ʁ ɔ d ɥ i z i
l'intérieur	l ɛ̃ t e ʁ j œ ʁ
l'intérim	l ɛ̃ t e ʁ i m
l'intérêt	l ɛ̃ t e ʁ ɛ
l'inutilité	l i n y t i ʎ i t e
l'inutilité	ʎ i n y t i ʎ i t e
l'invisible	l ɛ̃ v i z i b l
l'aida	l e d a
l'aider	l e d e
l'aiguille	l ɛ ɡ ɥ i j
l'aimant	l ɛ m ɑ̃
l'inédit	l i n e d i
l'inédit	ʎ i n e d i
l'aise	l z
l'aise	l ɛ z
l'accepte	l a k s e p t
l'accepte	l a k s e s ɛ p t
l'accepte	l a k s e ɛ p t
l'accepte	l a k s ɛ p t
l'inépuisable	l i n e p ɥ i z a b l
l'inépuisable	ʎ i n e p ɥ i z a b l
l'ajustant	l a ʒ y s t ɑ̃
l'accompagnement	l k ɔ̃ p a ɲ m ɑ̃
l'irréprochable	l i ʁ e p ʁ ɔ ʃ a b l
l'irréprochable	ʎ i ʁ e p ʁ ɔ ʃ a b l
l'amant	l a m ɑ̃
l'ambition	l ɑ̃ b i s j ɔ̃
l'issue	l s y
l'issue	l y
l'accueillait	l k œ j ɛ
l'amenée	l a m n e
l'amenée	l a m ɛ n e
l'acheva	l a ʃ v a
l'acheva	l tʃ e v a
l'acheva	l ʃ v a
l'ami	l a m i
l'italie	l a ʎ i
l'italie	l i t a ʎ i
l'italie	l t a ʎ i
l'italie	ʎ i t a ʎ i
l'ivresse	l i v ʁ ɛ s
l'ivresse	l ɑ v ʁ ɛ s
l'ivresse	ʎ i v ʁ ɛ s
l'amiable	l a mʲ a b l
l'acquit	l a c i
l'acquit	l c i
l'actif	l a k t i f
l'ivrognerie	l i v ʁ ɔ ɲ ə ʁ i
l'ivrognerie	ʎ i v ʁ ɔ ɲ ə ʁ i
l'amoureux	l a m u ʁ ø
l'activité	l a k t i v i t e
l'observait	l ɔ p s ɛ ʁ v ɛ
l'amusait	l a m y s ɛ
l'amusait	l a m y z ɛ
l'amusait	l a m y ɛ
l'administration	l a d m i ɲ i s t ʁ a s j ɔ̃
l'administration	l d m i ɲ i s t ʁ a s j ɔ̃
l'observatoire	l ɔ p s ɛ ʁ v a t w a ʁ
l'amérique	l a m e ʁ i k
l'aeantide	l a ɑ̃ t i d
l'aeantide	l s a ɑ̃ t i d
l'aeantide	l ɑ̃ t i d
l'obstination	l ɔ p s t i n a s j ɔ̃
l'ancien	l ɑ̃ s j ɛ̃
l'affirmation	l a f i ʁ m a s j ɔ̃
l'occasion	l ɔ k a z j ɔ̃
l'océan	l ɔ s e ɑ̃
l'ancre	l ɑ̃ k ʁ
l'ange	l ɑ̃ ʒ
l'angleterre	l ɑ̃ ɡ l ə t ɛ ʁ
l'oeil	l ɔ ɛ j
l'année	l a n e
l'officier	l ɔ f i s j e
l'olympe	l ɔ l ɛ̃ p
l'ombre	l ɔ̃ b ʁ
l'antique	l ɑ̃ t i k
l'omnibus	l ɔ m ɲ i b y s
l'anéantissement	l a n e ɑ̃ t i s m ɑ̃
l'opacité	l ɔ p a s i t e
l'appelait	l a p l ɛ
l'ai	l
l'ai	l e
l'opéra	l ɔ p e ʁ a
l'applaudissement	l a p l o d i s m ɑ̃
l'applaudissement	l p l o d i s m ɑ̃
l'or	l ɔ ʁ
l'arbre	l a ʁ b ʁ
l'aide	l e d
l'aide	l ɛ d
l'orage	l ɔ ʁ a ʒ
l'aigle	l ɛ ɡ l
l'orbite	l ɔ ʁ b i t
l'arche	l a ʁ ʃ
l'aile	l ɛ l
l'ordonne	l ɔ ʁ d ɔ n
l'archemarion	l a ʁ ʃ m a ʁ j ɔ̃
l'aimait	l ɛ m ɛ
l'ordre	l ɔ ʁ d ʁ
l'ordure	l ɔ ʁ d y ʁ
l'oreille	l ɔ ʁ ɛ j
l'oreiller	l ɔ ʁ ɛ j e
l'origine	l ɔ ʁ i ʒ i n
l'aimer	l e m e
l'aimer	l ɛ m e
l'armer	l a ʁ m e
l'osait	l ɔ s ɛ
l'osait	l ɔ z ɛ
l'osait	l ɔ ɛ
l'osait	l ɛ
l'oserait	l ɔ s ʁ ɛ
l'oserait	l ɔ z ə ʁ ɛ
l'oserait	l ɔ z ʁ ɛ
l'aisne	l n
l'aisne	l ɛ n
l'arrivée	l a ʁ i v e
l'oublieux	l u b ʎ i j ø
l'allée	l a l e
l'arrièregarde	l a ʁ i j ɛ ʁ ə ɡ a ʁ d
l'arrièregarde	l a ʁ i j ɛ ʁ ɡ a ʁ d
l'arrièregarde	l a ʁ j ɛ ʁ ə ɡ a ʁ d
l'arrièregarde	l a ʁ j ɛ ʁ ɡ a ʁ d
l'arrêta	l a ʁ e t a
l'arrêta	l a ʁ ɛ t a
l'alphabet	l a l f a b ɛ
l'ouragan	l u ʁ a ɡ ɑ̃
l'ouragan	l ɔ ʁ a ɡ ɑ̃
l'arrêter	l a ʁ e t e
l'ours	l ɔ u ʁ
l'art	l a ʁ
l'art	l s a ʁ
l'ouvrier	l u v ʁ i j e
l'ouvrier	l z u v ʁ i j e
l'amitié	l a m i t j e
l'ouvrit	l u v ʁ i
l'ouvrit	l z u v ʁ i
l'unisson	l y ɲ i s ɔ̃
l'as	l ɑ
l'univers	l y ɲ i v ɛ ʁ
l'aspect	l s p ɛ
l'aspect	l ɑ s p
l'aspect	l ɑ s p ɛ
l'asphyxie	l a s f i k s i
l'asphyxie	l f i k s i
l'assassiné	l a s i n e
l'assassiné	l s a s i n e
l'assemblée	l a s ɑ̃ b l e
l'assemblée	l ɑ̃ b l e
l'assiégé	l j e ʒ e
l'assourdissement	l u ʁ d i s m ɑ̃
l'ut	l y
l'ut	l y t
l'atmosphère	l a t m ɔ s f ɛ ʁ
l'amphigouri	l ɑ̃ f i ɡ u ʁ i
l'utopie	l y t ɔ p i
l'attaque	l a k
l'attaque	l a t a k
l'amélioration	l a m e ʎ ɔ ʁ a s j ɔ̃
l'yonne	l i a n
l'yonne	l j ɔ n
l'attendaient	l a t ɑ̃ d ɛ
l'âme	l ɑ m
l'éblouissement	l e b l u i s m ɑ̃
l'ébranlement	l e b ʁ ɑ̃ l m ɑ̃
l'angle	l ɑ̃ ɡ l
l'attirer	l a t i ʁ e
l'échafaud	l e ʃ a f o
l'attrait	l a t ʁ ɛ
l'écharpe	l e ʃ a ʁ p
l'éclair	l e k l ɛ ʁ
l'éclairait	l e k l ɛ ʁ ɛ
l'éclatant	l e k l a t ɑ̃
l'écluse	l e k l y z
l'économie	l e k ɔ n ɔ m i
l'anse	l ɑ̃ s
l'audace	l o d a s
l'écoute	l e k u t
l'aurais	l o ʁ ɛ
l'aurais	l ɔ ʁ ɛ
l'écrasement	l e k ʁ a z m ɑ̃
l'écrasement	l e k ʁ ɑ z m ɑ̃
l'antiquité	l ɑ̃ t i c i t e
l'apercevait	l a p ɛ ʁ s ə v ɛ
l'écroulement	l e k ʁ u l m ɑ̃
l'auras	l o ʁ ɑ
l'auras	l ɔ ʁ ɑ
l'apocalypse	l a p ɔ k a ʎ i p s
l'édifice	l e d i f i s
l'aurez	l o ʁ e
l'aurez	l ɔ ʁ e
l'aurez	l ʁ e
l'appartement	l a p a ʁ t ə m ɑ̃
l'égalité	l e ɡ a ʎ i t e
l'austérité	l ɔ s t e ʁ i t e
l'approcha	l a p ʁ ɔ ʃ a
l'église	l e ɡ ʎ i z
l'approche	l a p ʁ ɔ ʃ
l'égout	l e ɡ u
l'arbalète	l a ʁ b a l ɛ t
l'égoïsme	l e ɡ ɔ i s m
l'avais	l a v ɛ
l'éloignement	l e l w a ɲ m ɑ̃
l'avait	l a v ɛ
l'avantgarde	l a v s ɡ a ʁ d
l'éléphant	l e l e f ɑ̃
l'aventure	l a v ɑ̃ t y ʁ
l'émut	l e m y t
l'arrièrecour	l a ʁ i j ɛ ʁ ə k u ʁ
l'arrièrecour	l a ʁ j ɛ ʁ k u ʁ
l'arrièrecour	l a ʁ j ɛ ʁ ə k u ʁ
l'aveu	l a v ø
l'énergique	l e n ɛ ʁ ʒ i k
l'arrière	l a ʁ j ɛ ʁ
l'épaisseur	l e p ɛ s œ ʁ
l'épaule	l e p o l
l'époque	l e p ɔ k
l'épousée	l e p u z e
l'épouvanterait	l e p u v ɑ̃ t ʁ ɛ
l'avis	l a v i
l'épée	l e p e
l'avocat	l a v ɔ k a
l'équerre	l e c ɛ ʁ
l'arête	l a ʁ ɛ t
l'arête	l s a ʁ ɛ t
l'avons	l a v ɔ̃
l'avons	l v ɔ̃
l'ayant	l a j ɑ̃
l'ayant	l s ɛ j ɑ̃
l'ayant	l ɛ j ɑ̃
l'aîné	l e n e
l'aîné	l ɛ n e
