dijo	d̪ i x o
incomparabilísimo	i ŋ k o m p a ɾ a β i l i s i m o
izquierda	i θ k j e r ð a
inspiré	i n s p i ɾ e
incomprensible	i ŋ k o m p ɾ e n s i β l e
izquierdas	i θ k j e r ð a s
inconsciencia	i ŋ k o n s θ j e n θ j a
incontestables	i ŋ k o n t̪ e s t̪ a β l e s
incorporada	i ŋ k o r p o ɾ a ð a
izquierdo	i θ k j e r ð o
instantáneamente	i n s t̪ a n t̪ a n e a m e n t̪ e
instituidas	i n s t̪ i t̪ w i ð a s
incorporamos	i ŋ k o r p o ɾ a m o s
instrucción	i n s t̪ ɾ u k θ j o n
instrucción	i n s t̪ ɾ u ɣ θ j o n
instructivo	i n s t̪ ɾ u ɣ t̪ i β o
instrumentos	i n s t̪ ɾ u m e n t̪ o s
incorporose	i ŋ k o r p o ɾ o s e
ja	x a
insultaban	i n s u l t̪ a β a n
incorporándome	i ŋ k o r p o ɾ a n d̪ o m e
incredulidad	i ŋ k ɾ e ð u l i ð a ð
incógnito	i ŋ k o ɣ n i t̪ o
incómodamente	i ŋ k o m o ð a m e n t̪ e
indecentes	i n d̪ e θ e n t̪ e s
indecisiones	i n d̪ e θ i s j o n e s
indefensa	i n d̪ e f e n s a
jacobinismo	x a k o β i n i s m o
jadeando	x a ð e a n d̪ o
jalbegadas	x a l β e ɣ a ð a s
jambas	x a m b a s
jamás	x a m a s
jaramagos	x a ɾ a m a ɣ o s
indefinible	i n d̪ e f i n i β l e
jardines	x a r ð i n e s
indicada	i n d̪ i k a ð a
indicado	i n d̪ i k a ð o
jarro	x a r o
jaula	x a u l a
jaulas	x a u l a s
jazmín	x a θ m i n
je	ç e
insultante	i n s u l t̪ a n t̪ e
insultarle	i n s u l t̪ a r l e
insulte	i n s u l t̪ e
intacto	i n t̪ a ɣ t̪ o
indicara	i n d̪ i k a ɾ a
intactos	i n t̪ a ɣ t̪ o s
indicará	i n d̪ i k a ɾ a
jefe	ç e f e
inteligente	i n t̪ e l i ç e n t̪ e
jefes	ç e f e s
indiferentes	i n d̪ i f e ɾ e n t̪ e s
intempestivo	i n t̪ e m p e s t̪ i β o
jerarquía	ç e ɾ a r c i a
jergón	ç e r ɣ o n
jerárquico	ç e ɾ a r c i k o
jinete	ç i n e t̪ e
intenso	i n t̪ e n s o
intensísima	i n t̪ e n s i s i m a
indignado	i n d̪ i ɣ n a ð o
jinetes	ç i n e t̪ e s
intentaban	i n t̪ e n t̪ a β a n
jormiguita	x o r m i ʝ i t̪ a
jornaleros	x o r n a l e ɾ o s
intentando	i n t̪ e n t̪ a n d̪ o
jovenzuela	x o β e n θ w e l a
indignos	i n d̪ i ɣ n o s
intentara	i n t̪ e n t̪ a ɾ a
jovialmente	x o β j a l m e n t̪ e
intentarlo	i n t̪ e n t̪ a r l o
joyas	x o ʝ a s
intento	i n t̪ e n t̪ o
indiscutible	i n d̪ i s k u t̪ i β l e
jubón	x u β o n
intenté	i n t̪ e n t̪ e
jueces	x w e θ e s
juegan	x w e ɣ a n
indispongan	i n d̪ i s p o ŋ ɡ a n
juego	x w e ɣ o
individual	i n d̪ i β i ð w a l
intercedas	i n t̪ e ɾ θ e ð a s
juegue	x w e ʝ e
individualiza	i n d̪ i β i ð w a l i θ a
jugadores	x u ɣ a ð o ɾ e s
indolente	i n d̪ o l e n t̪ e
jugar	x u ɣ a ɾ
indujeron	i n d̪ u ç e ɾ o n
jugaron	x u ɣ a ɾ o n
indultado	i n d̪ u l t̪ a ð o
interesante	i n t̪ e ɾ e s a n t̪ e
juguete	x u ʝ e t̪ e
juguetes	x u ʝ e t̪ e s
juicio	x w i θ j o
interesar	i n t̪ e ɾ e s a ɾ
interesarme	i n t̪ e ɾ e s a r m e
industrias	i n d̪ u s t̪ ɾ j a s
juicios	x w i θ j o s
junta	x u n t̪ a
ineptitud	i n e β t̪ i t̪ u ð
inertes	i n e r t̪ e s
inesperado	i n e s p e ɾ a ð o
intermandibular	i n t̪ e r m a n d̪ i β u l a ɾ
inestabilidad	i n e s t̪ a β i l i ð a ð
juntado	x u n t̪ a ð o
internado	i n t̪ e r n a ð o
juntan	x u n t̪ a n
internarnos	i n t̪ e r n a r n o s
internó	i n t̪ e r n o
juntar	x u n t̪ a ɾ
interpelado	i n t̪ e r p e l a ð o
inexplorada	i n e k s p l o ɾ a ð a
juntas	x u n t̪ a s
interponiéndose	i n t̪ e r p o n j e n d̪ o s e
interponiéndose	i n t̪ e r p o ɲ j e n d̪ o s e
interpuso	i n t̪ e r p u s o
infames	i n f a m e s
junten	x u n t̪ e n
juntos	x u n t̪ o s
infanta	i n f a n t̪ a
interrogaron	i n t̪ e r o ɣ a ɾ o n
interrogué	i n t̪ e r o ʝ e
interrumpieron	i n t̪ e r u m p j e ɾ o n
juntó	x u n t̪ o
jurado	x u ɾ a ð o
juran	x u ɾ a n
jurar	x u ɾ a ɾ
jurarlo	x u ɾ a r l o
interrumpía	i n t̪ e r u m p i a
intervalo	i n t̪ e r β a l o
intervalos	i n t̪ e r β a l o s
juro	x u ɾ o
intimidad	i n t̪ i m i ð a ð
infestándonos	i n f e s t̪ a n d̪ o n o s
intriga	i n t̪ ɾ i ɣ a
justamente	x u s t̪ a m e n t̪ e
justicia	x u s t̪ i θ j a
infinitas	i n f i n i t̪ a s
inflamaciones	i n f l a m a θ j o n e s
inflamándose	i n f l a m a n d̪ o s e
influencias	i n f l w e n θ j a s
informar	i n f o r m a ɾ
informarme	i n f o r m a r m e
informe	i n f o r m e
justificado	x u s t̪ i f i k a ð o
juvenil	x u β e n i l
intrigantuelo	i n t̪ ɾ i ɣ a n t̪ w e l o
juveniles	x u β e n i l e s
informulados	i n f o r m u l a ð o s
infortunado	i n f o r t̪ u n a ð o
introducido	i n t̪ ɾ o ð u θ i ð o
infructuoso	i n f ɾ u ɣ t̪ w o s o
juventud	x u β e n t̪ u ð
introducirla	i n t̪ ɾ o ð u θ i r l a
infunden	i n f u n d̪ e n
infundiendo	i n f u n d̪ j e n d̪ o
juzgaban	x u θ ɣ a β a n
juzgarte	x u θ ɣ a r t̪ e
juzgué	x u θ ʝ e
introducía	i n t̪ ɾ o ð u θ i a
infundir	i n f u n d̪ i ɾ
infundía	i n f u n d̪ i a
juzguéis	x u θ ʝ e i s
infundían	i n f u n d̪ i a n
intruso	i n t̪ ɾ u s o
intrépida	i n t̪ ɾ e p i ð a
intuición	i n t̪ w i θ j o n
inundado	i n u n d̪ a ð o
ingenio	i ɲ ç e ɲ j o
jácaras	x a k a ɾ a s
inundó	i n u n d̪ o
júbilo	x u β i l o
inusitado	i n u s i t̪ a ð o
inutilizados	i n u t̪ i l i θ a ð o s
invadir	i m b a ð i ɾ
ingenua	i ɲ ç e n w a
ingenuo	i ɲ ç e n w o
ingrato	i ŋ ɡ ɾ a t̪ o
ingreso	i ŋ ɡ ɾ e s o
ingresos	i ŋ ɡ ɾ e s o s
inhumano	i n u m a n o
iniciales	i n i θ j a l e s
inicuo	i n i k w o
ininteligibles	i n i n t̪ e l i ç i β l e s
injurioso	i ŋ x u ɾ j o s o
injustamente	i ŋ x u s t̪ a m e n t̪ e
injustificada	i ŋ x u s t̪ i f i k a ð a
júreme	x u ɾ e m e
inmediato	i m e ð j a t̪ o
lspagne	e l e s p a ɣ n e
lspagne	l s p a ɣ n e
lspagne	l s p b a ɣ n e
invadirla	i m b a ð i r l a
invadían	i m b a ð i a n
letendart	l e t̪ e n d̪ a r t̪
inminencia	i m i n e n θ j a
laberinto	l a β e ɾ i n t̪ o
inmolados	i m o l a ð o s
labios	l a β j o s
labor	l a β o ɾ
invencibles	i m b e n θ i β l e s
inmortalidad	i m o r t̪ a l i ð a ð
invención	i m b e n θ j o n
laboriosidad	l a β o ɾ j o s i ð a ð
inventada	i m b e n t̪ a ð a
inventar	i m b e n t̪ a ɾ
inventor	i m b e n t̪ o ɾ
labrar	l a β ɾ a ɾ
inverosímiles	i m b e ɾ o s i m i l e s
labriego	l a β ɾ j e ɣ o
investigadora	i m b e s t̪ i ɣ a ð o ɾ a
lacayos	l a k a ʝ o s
lacircunstancia	l a θ i r k u n s t̪ a n θ j a
invocaba	i m b o k a β a
lado	l a ð o
invocan	i m b o k a n
inmunda	i m u n d̪ a
inmundo	i m u n d̪ o
inmundos	i m u n d̪ o s
invocábamos	i m b o k a β a m o s
inválido	i m b a l i ð o
inmóvil	i m o β i l
inútiles	i n u t̪ i l e s
innobles	i n o β l e s
iras	i ɾ a s
irgumento	i r ɣ u m e n t̪ o
irradiado	i r a ð j a ð o
irregulares	i r e ɣ u l a ɾ e s
inolvidable	i n o l β i ð a β l e
irremisiblemente	i r e m i s i β l e m e n t̪ e
inoportunamente	i n o p o r t̪ u n a m e n t̪ e
lados	l a ð o s
irrespetuoso	i r e s p e t̪ w o s o
inquietas	i ŋ k j e t̪ a s
ladrar	l a ð ɾ a ɾ
ladrillo	l a ð ɾ i ʎ o
irrisión	i r i s j o n
ladrillos	l a ð ɾ i ʎ o s
inquilinos	i ɲ c i l i n o s
irritaba	i r i t̪ a β a
ladrones	l a ð ɾ o n e s
insaciable	i n s a θ j a β l e
irritación	i r i t̪ a θ j o n
irritado	i r i t̪ a ð o
ladronzuelo	l a ð ɾ o n θ w e l o
lagartija	l a ɣ a r t̪ i x a
irritando	i r i t̪ a n d̪ o
insensata	i n s e n s a t̪ a
lagartos	l a ɣ a r t̪ o s
laguna	l a ɣ u n a
lalluvia	l a ʎ u β j a
lamentable	l a m e n t̪ a β l e
lamentar	l a m e n t̪ a ɾ
lamentos	l a m e n t̪ o s
lamparilla	l a m p a ɾ i ʎ a
lana	l a n a
irse	i r s e
lanas	l a n a s
insensibles	i n s e n s i β l e s
irás	i ɾ a s
lanceros	l a n θ e ɾ o s
insertaba	i n s e r t̪ a β a
lanza	l a n θ a
lanzaba	l a n θ a β a
lanzada	l a n θ a ð a
insigne	i n s i ɣ n e
irónica	i ɾ o n i k a
lanzados	l a n θ a ð o s
lanzar	l a n θ a ɾ
islamismo	i s l a m i s m o
lanzarlo	l a n θ a r l o
lanzarse	l a n θ a r s e
insistente	i n s i s t̪ e n t̪ e
insistir	i n s i s t̪ i ɾ
insistía	i n s i s t̪ i a
lanzas	l a n θ a s
lanzándolo	l a n θ a n d̪ o l o
laregia	l a r e x j a
laregia	l a ɾ e x j a
largas	l a r ɣ a s
largo	l a r ɣ o
largos	l a r ɣ o s
larguísimas	l a r ɣ w i s i m a s
larguísimas	l a r ʝ i s i m a s
lascivo	l a s θ i β o
insostenible	i n s o s t̪ e n i β l e
laspartidas	l a s p a r t̪ i ð a s
lastimaban	l a s t̪ i m a β a n
inspirada	i n s p i ɾ a ð a
inspirarlo	i n s p i ɾ a r l o
inspiras	i n s p i ɾ a s
lastimero	l a s t̪ i m e ɾ o
lastimoso	l a s t̪ i m o s o
lasviejas	l a s β j e x a s
laterales	l a t̪ e ɾ a l e s
instalado	i n s t̪ a l a ð o
latigazos	l a t̪ i ɣ a θ o s
instintiva	i n s t̪ i n t̪ i β a
instintos	i n s t̪ i n t̪ o s
instituto	i n s t̪ i t̪ u t̪ o
instrucciones	i n s t̪ ɾ u ɣ θ j o n e s
instruye	i n s t̪ ɾ u ʝ e
insté	i n s t̪ e
insultaba	i n s u l t̪ a β a
insultando	i n s u l t̪ a n d̪ o
insultar	i n s u l t̪ a ɾ
insultas	i n s u l t̪ a s
insulten	i n s u l t̪ e n
latino	l a t̪ i n o
latinos	l a t̪ i n o s
latía	l a t̪ i a
latín	l a t̪ i n
izquierdos	i θ k j e r ð o s
lava	l a β a
jacobino	x a k o β i n o
jactancia	x a ɣ t̪ a n θ j a
lavanda	l a β a n d̪ a
jaleo	x a l e o
intachable	i n t̪ a tʃ a β l e
lavar	l a β a ɾ
jaleos	x a l e o s
intelectuales	i n t̪ e l e k t̪ w a l e s
lavarse	l a β a r s e
jamas	x a m a s
lave	l a β e
jambrera	x a m b ɾ e ɾ a
jaras	x a ɾ a s
jardinero	x a r ð i n e ɾ o
laya	l a ʝ a
intensa	i n t̪ e n s a
jerarquías	ç e ɾ a r c i a s
jericó	ç e ɾ i k o
laíto	l a i t̪ o
lañador	l a ɲ a ð o ɾ
jesuitas	ç e s w i t̪ a s
leal	l e a l
lealtad	l e a l t̪ a ð
lecciones	l e ɣ θ j o n e s
jirón	ç i ɾ o n
intenta	i n t̪ e n t̪ a
lecho	l e tʃ o
jornada	x o r n a ð a
lector	l e k t̪ o ɾ
lectura	l e k t̪ u ɾ a
jornal	x o r n a l
jour	x o u ɾ
joven	x o β e n
jovial	x o β j a l
intentado	i n t̪ e n t̪ a ð o
jovialidad	x o β j a l i ð a ð
lee	l e e
lee	l i
leen	l e e n
intentarla	i n t̪ e n t̪ a r l a
jubona	x u β o n a
jue	x w e
leer	l e e ɾ
leerla	l e e r l a
juegos	x w e ɣ o s
leerlo	l e e r l o
intentó	i n t̪ e n t̪ o
juez	x w e θ
leerte	l e e r t̪ e
intercede	i n t̪ e ɾ θ e ð e
jugaban	x u ɣ a β a n
legista	l e ç i s t̪ a
intercesión	i n t̪ e ɾ θ e s j o n
jugando	x u ɣ a n d̪ o
legitimación	l e ç i t̪ i m a θ j o n
interesaban	i n t̪ e ɾ e s a β a n
interesan	i n t̪ e ɾ e s a n
juglar	x u ɣ l a ɾ
juguetease	x u ʝ e t̪ e a s e
interesantísima	i n t̪ e ɾ e s a n t̪ i s i m a
jumento	x u m e n t̪ o
legitimar	l e ç i t̪ i m a ɾ
juntamente	x u n t̪ a m e n t̪ e
legión	l e x j o n
juntaron	x u n t̪ a ɾ o n
interiores	i n t̪ e ɾ j o ɾ e s
legos	l e ɣ o s
junto	x u n t̪ o
legua	l e ɣ w a
interminable	i n t̪ e r m i n a β l e
juntándolos	x u n t̪ a n d̪ o l o s
leguas	l e ɣ w a s
interna	i n t̪ e r n a
jurando	x u ɾ a n d̪ o
jurisprudencia	x u ɾ i s p ɾ u ð e n θ j a
internamos	i n t̪ e r n a m o s
justicias	x u s t̪ i θ j a s
leguleyo	l e ɣ u l e ʝ o
interno	i n t̪ e r n o
justificar	x u s t̪ i f i k a ɾ
legumbre	l e ɣ u m b ɾ e
interné	i n t̪ e r n e
legítimo	l e ç i t̪ i m o
lejanas	l e x a n a s
lejano	l e x a n o
interpelaba	i n t̪ e r p e l a β a
lejos	l e x o s
interpretación	i n t̪ e r p ɾ e t̪ a θ j o n
interrogaremos	i n t̪ e r o ɣ a ɾ e m o s
juzgado	x u θ ɣ a ð o
juzgas	x u θ ɣ a s
lencería	l e n θ e ɾ i a
interrumpida	i n t̪ e r u m p i ð a
juzguemos	x u θ ʝ e m o s
lengua	l e ŋ ɡ w a
interrumpían	i n t̪ e r u m p i a n
intimidades	i n t̪ i m i ð a ð e s
intrigante	i n t̪ ɾ i ɣ a n t̪ e
intrincado	i n t̪ ɾ i ŋ k a ð o
introduciendo	i n t̪ ɾ o ð u θ j e n d̪ o
intrusos	i n t̪ ɾ u s o s
inundada	i n u n d̪ a ð a
inundaron	i n u n d̪ a ɾ o n
inutilidad	i n u t̪ i l i ð a ð
invadido	i m b a ð i ð o
invadieran	i m b a ð j e ɾ a n
invadía	i m b a ð i a
inventadapor	i m b e n t̪ a ð a p o ɾ
inventó	i m b e n t̪ o
inverosímil	i m b e ɾ o s i m i l
investigación	i m b e s t̪ i ɣ a θ j o n
inveterada	i m b e t̪ e ɾ a ð a
invisibles	i m b i s i β l e s
invocación	i m b o k a θ j o n
invocó	i m b o k o
invoqué	i m b o c e
inválida	i m b a l i ð a
inválidos	i m b a l i ð o s
iracundas	i ɾ a k u n d̪ a s
iris	i ɾ i s
irme	i r m e
juío	x u i o
juío	x w i o
juío	ɟʝ w i o
irradiaba	i r a ð j a β a
jóvenes	x o β e n e s
irrecusables	i r e k u s a β l e s
lenguaje	l e ŋ ɡ w a ç e
irreligiosidad	i r e l i x j o s i ð a ð
lenguas	l e ŋ ɡ w a s
lenta	l e n t̪ a
irrespetuosamente	i r e s p e t̪ w o s a m e n t̪ e
lentamente	l e n t̪ a m e n t̪ e
lentejuelas	l e n t̪ e x w e l a s
lentitud	l e n t̪ i t̪ u ð
kilómetros	c i l o m e t̪ ɾ o s
irreverentemente	i r e β e ɾ e n t̪ e m e n t̪ e
irrisorias	i r i s o ɾ j a s
leprosa	l e p ɾ o s a
irritada	i r i t̪ a ð a
laigle	l a i ɣ l e
letra	l e t̪ ɾ a
irritar	i r i t̪ a ɾ
labio	l a β j o
irá	i ɾ a
letras	l e t̪ ɾ a s
iríamos	i ɾ i a m o s
letrero	l e t̪ ɾ e ɾ o
isla	i s l a
levanta	l e β a n t̪ a
italianos	i t̪ a l j a n o s
labores	l a β o ɾ e s
levantadas	l e β a n t̪ a ð a s
levantamiento	l e β a n t̪ a m j e n t̪ o
levantando	l e β a n t̪ a n d̪ o
levantar	l e β a n t̪ a ɾ
jabonosa	x a β o n o s a
levantarme	l e β a n t̪ a r m e
labradora	l a β ɾ a ð o ɾ a
jadeante	x a ð e a n t̪ e
labradores	l a β ɾ a ð o ɾ e s
levantarse	l e β a n t̪ a r s e
lacayo	l a k a ʝ o
levantará	l e β a n t̪ a ɾ a
lacolecturía	l a k o l e k t̪ u ɾ i a
lacolecturía	l a k o l e ɣ t̪ u ɾ i a
jalones	x a l o n e s
levantarían	l e β a n t̪ a ɾ i a n
lacual	l a k w a l
lade	l a ð e
ladeado	l a ð e a ð o
jamón	x a m o n
jaranita	x a ɾ a n i t̪ a
levanten	l e β a n t̪ e n
jardín	x a r ð i n
jarros	x a r o s
levantolos	l e β a n t̪ o l o s
jazmines	x a θ m i n e s
levantándose	l e β a n t̪ a n d̪ o s e
levitas	l e β i t̪ a s
jerga	ç e r ɣ a
jergones	ç e r ɣ o n e s
jilguero	ç i l ʝ e ɾ o
ladroncitos	l a ð ɾ o n θ i t̪ o s
levántate	l e β a n t̪ a t̪ e
jirones	ç i ɾ o n e s
leyendo	l e ʝ e n d̪ o
ladrón	l a ð ɾ o n
leyeron	l e ʝ e ɾ o n
jornadas	x o r n a ð a s
leyese	l e ʝ e s e
leyó	l e ʝ o
laenseñarían	l a e n s e ɲ a ɾ i a n
leéis	l e e i s
lagartijera	l a ɣ a r t̪ i ç e ɾ a
leí	l e i
lairones	l a i ɾ o n e s
lamentaban	l a m e n t̪ a β a n
jovencita	x o β e n θ i t̪ a
lamentando	l a m e n t̪ a n d̪ o
lamentábase	l a m e n t̪ a β a s e
lamparillas	l a m p a ɾ i ʎ a s
lancé	l a n θ e
leía	l e i a
leída	l e i ð a
leñador	l e ɲ a ð o ɾ
joya	x o ʝ a
langostilla	l a ŋ ɡ o s t̪ i ʎ a
león	l e o n
lanzadas	l a n θ a ð a s
liberta	l i β e r t̪ a
lanzando	l a n θ a n d̪ o
libertad	l i β e r t̪ a ð
libertino	l i β e r t̪ i n o
librar	l i β ɾ a ɾ
lanzarla	l a n θ a r l a
librarme	l i β ɾ a r m e
librea	l i β ɾ e a
lanzaron	l a n θ a ɾ o n
lanzaría	l a n θ a ɾ i a
libres	l i β ɾ e s
lanzó	l a n θ o
libro	l i β ɾ o
lao	l a o
libros	l i β ɾ o s
judex	x u ð e k s
lapobre	l a p o β ɾ e
juega	x w e ɣ a
larga	l a r ɣ a
licencia	l i θ e n θ j a
largamente	l a r ɣ a m e n t̪ e
largueza	l a r ʝ e θ a
licenciado	l i θ e n θ j a ð o
larguísimos	l a r ɣ w i s i m o s
larguísimos	l a r ʝ i s i m o s
licenciados	l i θ e n θ j a ð o s
jugaba	x u ɣ a β a
laseñora	l a s e ɲ o ɾ a
licurgo	l i k u r ɣ o
lastierras	l a s t̪ j e r a s
lienzo	l j e n θ o
lastimas	l a s t̪ i m a s
lienzos	l j e n θ o s
jugarreta	x u ɣ a r e t̪ a
lastimeras	l a s t̪ i m e ɾ a s
ligas	l i ɣ a s
ligera	l i ç e ɾ a
juguetones	x u ʝ e t̪ o n e s
ligeramente	l i ç e ɾ a m e n t̪ e
juimos	x w i m o s
lastimé	l a s t̪ i m e
ligereza	l i ç e ɾ e θ a
latas	l a t̪ a s
ligero	l i ç e ɾ o
juntaban	x u n t̪ a β a n
latienda	l a t̪ j e n d̪ a
ligeros	l i ç e ɾ o s
juntando	x u n t̪ a n d̪ o
latina	l a t̪ i n a
lima	l i m a
juntarse	x u n t̪ a r s e
latinas	l a t̪ i n a s
limbo	l i m b o
juntemos	x u n t̪ e m o s
limita	l i m i t̪ a
limosna	l i m o s n a
juntura	x u n t̪ u ɾ a
latir	l a t̪ i ɾ
limosnas	l i m o s n a s
jura	x u ɾ a
limpia	l i m p j a
juramentos	x u ɾ a m e n t̪ o s
laureles	l a u ɾ e l e s
limpiando	l i m p j a n d̪ o
lavandera	l a β a n d̪ e ɾ a
limpiarse	l i m p j a r s e
justa	x u s t̪ a
lavarás	l a β a ɾ a s
linaje	l i n a ç e
lavo	l a β o
linda	l i n d̪ a
justifica	x u s t̪ i f i k a
lazos	l a θ o s
justifique	x u s t̪ i f i c e
justo	x u s t̪ o
justos	x u s t̪ o s
lindas	l i n d̪ a s
juzgad	x u θ ɣ a ð
juzgar	x u θ ɣ a ɾ
lindezas	l i n d̪ e θ a s
juzgue	x u θ ʝ e
juzguen	x u θ ʝ e n
juzgándolos	x u θ ɣ a n d̪ o l o s
júrame	x u r a m e
júrame	x u ɾ a m e
lmpire	e l e e m p i ɾ e
lmpire	l m p i ɾ e
ltang	l t̪ a ŋ ɡ
la	l a
lingote	l i ŋ ɡ o t̪ e
laberintos	l a β e ɾ i n t̪ o s
lañadora	l a ɲ a ð o ɾ a
linterna	l i n t̪ e r n a
lion	l i o n
lisonja	l i s o ŋ x a
lisonja	l i s o ɲ ɟʝ a
leales	l e a l e s
lisonjera	l i s o ɲ ç e ɾ a
lección	l e ɣ θ j o n
leche	l e tʃ e
lisonjero	l i s o ɲ ç e ɾ o
labrando	l a β ɾ a n d̪ o
labriegos	l a β ɾ j e ɣ o s
lisonjeros	l i s o ɲ ç e ɾ o s
listillo	l i s t̪ i ʎ o
lectores	l e k t̪ o ɾ e s
listón	l i s t̪ o n
literal	l i t̪ e ɾ a l
literaria	l i t̪ e ɾ a ɾ j a
lacios	l a θ j o s
literatura	l i t̪ e ɾ a t̪ u ɾ a
lacrimoso	l a k ɾ i m o s o
lacruz	l a k ɾ u θ
livianos	l i β j a n o s
lacónicamente	l a k o n i k a m e n t̪ e
llagas	ʎ a ɣ a s
llama	ʎ a m a
llamaba	ʎ a m a β a
llamada	ʎ a m a ð a
llamado	ʎ a m a ð o
llamamiento	ʎ a m a m j e n t̪ o
llamamos	ʎ a m a m o s
leerlas	l e e r l a s
leeré	l e e ɾ e
legiones	l e x j o n e s
llamar	ʎ a m a ɾ
ladridos	l a ð ɾ i ð o s
ladroncillo	l a ð ɾ o n θ i ʎ o
legitimarla	l e ç i t̪ i m a r l a
lego	l e ɣ o
leguleño	l e ɣ u l e ɲ o
llamarada	ʎ a m a ɾ a ð a
llamarme	ʎ a m a r m e
legumbres	l e ɣ u m b ɾ e s
llamaron	ʎ a m a ɾ o n
llamará	ʎ a m a ɾ a
llamas	ʎ a m a s
lafamilia	l a f a m i l j a
lagarto	l a ɣ a r t̪ o
lagrimeo	l a ɣ ɾ i m e o
lairón	l a i ɾ o n
lamenta	l a m e n t̪ a
lamentándose	l a m e n t̪ a n d̪ o s e
llamo	ʎ a m o
llamábame	ʎ a m a β a m e
llamáis	ʎ a m a i s
lejanos	l e x a n o s
llamándola	ʎ a m a n d̪ o l a
llamé	ʎ a m e
llana	ʎ a n a
lelo	l e l o
lance	l a n θ e
llano	ʎ a n o
lances	l a n θ e s
llanono	ʎ a n o n o
lanería	l a n e ɾ i a
llantos	ʎ a n t̪ o s
lanzaban	l a n θ a β a n
llanuras	ʎ a n u ɾ a s
llaves	ʎ a β e s
lanzado	l a n θ a ð o
llega	ʎ e ɣ a
llegaban	ʎ e ɣ a β a n
llegado	ʎ e ɣ a ð o
lanzan	l a n θ a n
llegamos	ʎ e ɣ a m o s
lento	l e n t̪ o
llegar	ʎ e ɣ a ɾ
llegaran	ʎ e ɣ a ɾ a n
llegaron	ʎ e ɣ a ɾ o n
llegarán	ʎ e ɣ a ɾ a n
lentoy	l e n t̪ o i
llegarían	ʎ e ɣ a ɾ i a n
llegase	ʎ e ɣ a s e
lleguen	ʎ e ʝ e n
llegué	ʎ e ʝ e
lerda	l e r ð a
lanzara	l a n θ a ɾ a
llegábamos	ʎ e ɣ a β a m o s
lesa	l e s a
llegó	ʎ e ɣ o
llenaba	ʎ e n a β a
llenando	ʎ e n a n d̪ o
llenarse	ʎ e n a r s e
lanzarnos	l a n θ a r n o s
llenarás	ʎ e n a ɾ a s
lanzará	l a n θ a ɾ a
llenos	ʎ e n o s
lanzazo	l a n θ a θ o
lleva	ʎ e β a
llevaban	ʎ e β a β a n
llevada	ʎ e β a ð a
lapillo	l a p i ʎ o
letreros	l e t̪ ɾ e ɾ o s
levantada	l e β a n t̪ a ð a
levantado	l e β a n t̪ a ð o
levantarlo	l e β a n t̪ a r l o
levantarte	l e β a n t̪ a r t̪ e
levantarán	l e β a n t̪ a ɾ a n
llevadme	ʎ e β a ð m e
lapoca	l a p o k a
levanteme	l e β a n t̪ e m e
llevado	ʎ e β a ð o
larguísima	l a r ɣ w i s i m a
larguísima	l a r ʝ i s i m a
llevamos	ʎ e β a m o s
laringe	l a ɾ i ɲ ç e
levantándome	l e β a n t̪ a n d̪ o m e
lascombinaciones	l a s k o m b i n a θ j o n e s
llevan	ʎ e β a n
levantó	l e β a n t̪ o
lastimosamente	l a s t̪ i m o s a m e n t̪ e
lastimosos	l a s t̪ i m o s o s
levemente	l e β e m e n t̪ e
latido	l a t̪ i ð o
llevar	ʎ e β a ɾ
levé	l e β e
laurel	l a u ɾ e l
llevaran	ʎ e β a ɾ a n
llevaremos	ʎ e β a ɾ e m o s
llevarle	ʎ e β a r l e
ley	l e i
llevarlo	ʎ e β a r l o
leyenda	l e ʝ e n d̪ a
leyes	l e ʝ e s
llevarnos	ʎ e β a r n o s
llevaron	ʎ e β a ɾ o n
llevarse	ʎ e β a r s e
llevará	ʎ e β a ɾ a
llevarán	ʎ e β a ɾ a n
lavada	l a β a ð a
llevas	ʎ e β a s
lavanderas	l a β a n d̪ e ɾ a s
llevase	ʎ e β a s e
leérsela	l e e r s e l a
lavas	l a β a s
lazo	l a θ o
lea	l e a
leído	l e i ð o
leñosos	l e ɲ o s o s
llevasteis	ʎ e β a s t̪ e i s
libaba	l i β a β a
lleven	ʎ e β e n
llevome	ʎ e β o m e
llevábase	ʎ e β a β a s e
llevándome	ʎ e β a n d̪ o m e
llevándose	ʎ e β a n d̪ o s e
llevándoselas	ʎ e β a n d̪ o s e l a s
lean	l e a n
lechuza	l e tʃ u θ a
llevé	ʎ e β e
libra	l i β ɾ a
librado	l i β ɾ a ð o
llevó	ʎ e β o
libre	l i β ɾ e
lecturas	l e k t̪ u ɾ a s
leeremos	l e e ɾ e m o s
leerlos	l e e r l o s
legioncilla	l e x j o n θ i ʎ a
libremente	l i β ɾ e m e n t̪ e
lloraba	ʎ o ɾ a β a
lloraban	ʎ o ɾ a β a n
lloran	ʎ o ɾ a n
llorar	ʎ o ɾ a ɾ
lloraron	ʎ o ɾ a ɾ o n
lloras	ʎ o ɾ a s
lloro	ʎ o ɾ o
llorosa	ʎ o ɾ o s a
lloréis	ʎ o ɾ e i s
lloró	ʎ o ɾ o
llovían	ʎ o β i a n
llévale	ʎ e β a l e
librote	l i β ɾ o t̪ e
lo	l o
lobanillo	l o β a n i ʎ o
loca	l o k a
legítima	l e ç i t̪ i m a
licencias	l i θ e n θ j a s
lejana	l e x a n a
liebre	l j e β ɾ e
local	l o k a l
liendres	l j e n d̪ ɾ e s
