du	d uː
maroquin	m a ʁ ɔ k v ɪ n
marschieren	m a ʁ ʃ iː ʁ n̩
marseille	m a ʁ s eː j
marseille	m a ʁ s eː j ə
marterinstrument	m a ʁ tʰ ɐ ɪ n s t ʁ ʊ m ɛ n t
magiers	m a ɟ iː ɐ s
mißgunst	m aj s ɡ ʊ n s t
mißgunst	m s ɡ ʊ n s t
magischen	m a ɟ ɪ ʃ n̩
maschinenschraube	m a ʃ iː n ə n ʃ ʁ aw b ə
mißhandelt	m aj s h a n d l̩ t
mißhandelt	m aj s h a n d ə l t
mißhandelt	m aj s ɛ h a n d ə l t
mißhandelt	m s h a n d l̩ t
mißhandelt	m s h a n d ə l t
magnetische	m a ɡ n eː tʰ ɪ ʃ ə
masse	m a s ə
masse	m aː s ə
mißlaut	m aj s l aw t
mißlaut	m s l aw t
mahnte	m aː n tʰ ə
mast	m a s t
mißmütig	m aj s m yː tʰ ɪ k
mißmütig	m aj s m yː tʰ ɪ ç
mißmütig	m s m yː tʰ ɪ k
mißmütig	m s m yː tʰ ɪ ç
maigrünen	m aj ɡ ʁ yː n n̩
mastbaum	m a s t b aw m
mißratener	m aj s ɛ ʁ aː tʰ ə n ɐ
mißratener	m aj s ʁ aː tʰ ə n ɐ
mißratener	m s ɛ ʁ aː tʰ ə n ɐ
mißratener	m s ʁ aː tʰ ə n ɐ
maitre	m aj t ʁ ə
maststange	m a s t ʃ t a ŋ ə
mißton	m aj s t n̩
mißton	m aj s t oː n
mißton	m aj s ɛ tʰ oː n
mißton	m s t oː n
mißton	m s ɛ tʰ oː n
mißton	m ɪ t s ɛ tʰ oː n
matrone	m a t ʁ oː n ə
mißtrauen	m aj s t ʁ aw n̩
mißtrauen	m s t ʁ aw n̩
matt	m a t
mißtrauische	m aj s t ʁ aw ɪ ʃ ə
mißtrauische	m s t ʁ aw ɪ ʃ ə
matte	m a tʰ ə
mißverstanden	m aj s f ɛ ɐ ʃ t a n d n̩
mißverstanden	m s f ɛ ɐ ʃ t a n d n̩
mauer	m aw ɐ
mochte	m ɔ x tʰ ə
mauerwälle	m aw ɐ v ɛ l ə
mochten	m ɔ x tʰ n̩
maulwurf	m aw l v ʊ ʁ f
moder	m oː d ɐ
malern	m aː l ɐ n
maße	m aː s ə
maßregeln	m a s ʁ eː ɡ l̩ n
maßregeln	m aw s ɛ t ʁ eː ɡ l̩ n
maßregeln	m aw s ɛ ʁ eː ɡ l̩ n
maßregeln	m aw s ʁ eː ɡ l̩ n
maßregeln	m aː s ɛ t ʁ eː ɡ l̩ n
maßregeln	m aː s ɛ ʁ eː ɡ l̩ n
maßregeln	m aː s ʁ eː ɡ l̩ n
maßregeln	m aː ɛ s t s ɛ t ʁ eː ɡ l̩ n
maßregeln	m s ʁ eː ɡ l̩ n
maßregeln	m ɛ s t s ɛ t ʁ eː ɡ l̩ n
medien	m eː d ɪ n̩
medusenhaupts	m ɛ d uː z n̩ h aw p t s
modischen	m oː d ɪ ʃ n̩
meeresenge	m eː ʁ ə s ɛ ŋ ə
moment	m ɔ m ɛ n t
meeresluft	m eː ʁ ə s l ʊ f t
malten	m a l tʰ n̩
malten	m aː l tʰ n̩
monat	m oː n a t
meerestiefe	m eː ʁ ə s t iː f ə
manche	m a ŋ ʃ ə
manche	m a ɲ ç ə
monatelang	m oː n a tʰ ə l a ŋ
meereswellen	m eː ʁ ə s v ɛ l n̩
manchen	m a ɲ ç n̩
mondblau	m oː n t b l aw
meerwasser	m eː ɐ v a s ɐ
monde	m oː n d ə
mehlstaubs	m eː l ʃ t aw p s
mondes	m oː n d ə s
mehrerer	m eː ʁ ɐ
mehrerer	m eː ʁ ə ʁ
mondesstrahl	m oː n d ə s ʃ t ʁ aː l
meiden	m aj d n̩
mondhelle	m oː n t h ɛ l ə
meilenlange	m aj l n̩ l a ŋ ə
mondköpfchen	m oː n t cʰ œ pf ç n̩
mangeln	m a ŋ l̩ n
mondleere	m oː n t l eː ʁ ə
meinen	m aj n
meinen	m aj n n̩
manierlichkeit	m a n iː ɐ l ɪ ç kʰ aj t
mondscheibe	m oː n t ʃ aj b ə
mannesalter	m a n ə s a l tʰ ɐ
mondschein	m oː n t ʃ aj n
meinst	m aj n s t
manneskraft	m a n ə s k ʁ a f t
monsieur	m ɔ n z iː øː ʁ
moossitz	m oː s z ɪ ts
mantel	m a n tʰ l̩
morden	m ɔ ʁ d n̩
mordfaul	m ɔ ʁ t f aw l
meinungen	m aj n ʊ ŋ n̩
mappieren	m a pʰ iː ʁ n̩
mordwaffen	m ɔ ʁ t v a f n̩
meistens	m aj s t n̩ s
marinesoldaten	m a ʁ ɪ n ɛ z ɔ l d aː t n
morgen	m ɔ ʁ ɡ n̩
meister	m aj s t ɐ
marmor	m a ʁ m oː ɐ
morgenden	m ɔ ʁ ɡ ə n tʰ n̩
maroquinbänden	m a ʁ ɔ k v ɪ n b ɛ n d n̩
morgennebel	m ɔ ʁ ɡ n̩ n eː b l̩
meisters	m aj s t ɐ s
morgens	m ɔ ʁ ɡ ə n s
meistertum	m aj s t ɐ tʰ uː m
marterte	m a ʁ tʰ ɐ tʰ ə
morgensonne	m ɔ ʁ ɡ ə n z ɔ n ə
mekkapilger	m ɛ kʰ a pʰ ɪ l ɡ ɐ
morgenstrahl	m ɔ ʁ ɡ n̩ ʃ t ʁ aː l
meldeten	m ɛ l d n̩
meldeten	m ɛ l d ə tʰ n̩
morsches	m ɔ ʁ ʃ ə s
melis	m ɛ l ɪ s
maschengewebe	m a ʃ n̩ ɡ ə v eː b ə
maschengewebe	m a ʃ ə n ɡ ə v eː b ə
motorboote	m oː tʰ oː ɐ b oː tʰ ə
melius	m eː l ɪ ʊ s
melius	m l̩ j ʊ s
melius	m ɛ l j ʊ s
melius	m ɛ l ɪ ʊ s
maschinenwerk	m a ʃ iː n ə n v ɛ ʁ k
munde	m ʊ n d ə
melodie	m ɛ l ɔ d iː
munter	m ʊ n tʰ ɐ
melodisch	m ɛ l oː d ɪ ʃ
munterste	m ʊ n tʰ ɐ s t ə
menge	m ɛ ŋ ə
massen	m a s n̩
muntrer	m ʊ n t ʁ ɐ
masten	m a s t n̩
murmelt	m ʊ ʁ m l̩ t
mastspitze	m a s t ʃ p ɪ ts ə
materie	m a tʰ eː ʁ ɪ ə
materie	m a tʰ ɛ ʁ ɪ
materie	m a tʰ ɛ ʁ ɪ ə
murmelte	m ʊ ʁ m l̩ tʰ ə
matrose	m a t ʁ oː z ə
murrköpfische	m ʊ ʁ cʰ œ pf ɪ ʃ ə
muschelketten	m ʊ ʃ l̩ cʰ ɛ tʰ n̩
matter	m a tʰ ɐ
menschenfleisch	m ɛ n ʃ n̩ f l aj ʃ
musik	m ʊ z iː k
maul	m aw l
menschengeschlecht	m ɛ n ʃ n̩ ɡ ə ʃ l ɛ ç t
musikanten	m ʊ z ɪ kʰ a n tʰ n̩
menschengruppen	m ɛ n ʃ n̩ ɡ ʁ ʊ pʰ n̩
musizieren	m uː z ɪ ts iː ʁ n̩
maule	m aw l ə
menschenkörpern	m ɛ n ʃ n̩ cʰ œ ʁ pʰ ɐ n
menschenkörpern	m ɛ n ʃ ə ɲ cʰ œ ʁ pʰ ɐ n
mut	m uː t
menschenleben	m ɛ n ʃ n̩ l eː b n̩
maus	m aw s
menschenmassen	m ɛ n ʃ n̩ m aː s n̩
mutes	m uː tʰ ə s
maß	m a s
maß	m aw s
maß	m aː s
maß	m aː ɛ s
maß	m s
maß	m ɛ s
menschenreiches	m ɛ n ʃ n̩ ʁ aj ç ə s
mutter	m ʊ tʰ ɐ
maßen	m aː s n̩
menschenscheuer	m ɛ n ʃ n̩ ʃ ɔʏ ɐ
mutterchen	m ʊ tʰ ɐ ç n̩
maßstabe	m a s ʃ t aː b ə
maßstabe	m aw s ʃ t aː b ə
maßstabe	m aː s ʃ t aː b ə
maßstabe	m s ʃ t aː b ə
menschenstimmen	m ɛ n ʃ n̩ ʃ t ɪ m n̩
mußte	m a s t
mußte	m a s t ə
mußte	m s t ə
mußte	m ʊ s t
mußte	m ʊ s t ə
medias	m ɛ d ɪ a s
menschenweib	m ɛ n ʃ n̩ v aj p
menschenweib	m ɛ n ʃ ə n v aj p
mußten	m a s t n̩
mußten	m s t n̩
mußten	m ʊ s t n̩
medizin	m ɛ d ɪ ts iː n
menschliche	m ɛ n ʃ l ɪ ç ə
mußtest	m a s t ə s t
mußtest	m s t ə s t
mußtest	m ʊ s t ə s t
merkbar	m ɛ ʁ k b aː ɐ
mystifikationen	m ʏ s t ɪ f ɪ kʰ a t s ɪ oː n n̩
merkbaren	m ɛ ʁ k b aː ʁ n̩
mystifizierte	m ʏ s t ɪ f ɪ ts iː ɐ tʰ ə
meeren	m eː ʁ n̩
merkliche	m ɛ ʁ k l ɪ ç ə
mystisches	m ʏ s t ɪ ʃ ə s
merktet	m ɛ ʁ k tʰ ə t
mächtig	m ɛ ç tʰ ɪ k
mächtig	m ɛ ç tʰ ɪ ç
meeresgrunde	m eː ʁ ə s ɡ ʁ ʊ n d ə
mächtige	m ɛ ç tʰ ɪ ɡ ə
meeresstrande	m eː ʁ ə s ʃ t ʁ a n d ə
merkwürdiger	m ɛ ʁ k v ʏ ʁ d ɪ ɡ ɐ
mächtiger	m ɛ ç tʰ ɪ ɡ ɐ
merkwürdigkeit	m ɛ ʁ k v ʏ ʁ d ɪ ç kʰ aj t
mädchen	m eː t ç n̩
meertierchen	m eː ɐ tʰ iː ɐ ç n̩
merkziel	m ɛ ʁ k ts iː l
messen	m ɛ s n̩
messers	m ɛ s ɐ s
mädchenfüße	m eː t ç ə n f yː s ə
mädchens	m eː t ç ə n s
mehreren	m eː ʁ n̩
messingstiegen	m ɛ s ɪ ŋ ʃ t iː ɡ n̩
mädchenschönheiten	m eː t ç ə n ʃ øː n h aj tʰ n̩
mehrsten	m eː ɐ s t n̩
mehrsten	m eː ɐ ʃ t eː n
mehrsten	m eː ɐ ʃ t n̩
männerbeine	m ɛ n ɐ b aj n ə
meilentief	m aj l ə n tʰ iː f
metallbäume	m ɛ tʰ a l b ɔʏ m ə
männerhände	m ɛ n ɐ h ɛ n d ə
männern	m ɛ n ɐ n
männlich	m ɛ n l ɪ ç
männlicher	m ɛ n l ɪ ç ɐ
märchenerzähler	m ɛ ɐ ç n̩ ɛ ɐ ts eː l ɐ
metallfürst	m ɛ tʰ a l f ʏ ʁ s t
märlein	m eː ɐ l aj n
metallischen	m ɛ tʰ a l ɪ ʃ n̩
meines	m aj n ə s
märsche	m ɛ ʁ ʃ ə
meteorsteine	m ɛ tʰ ɛ oː ɐ ʃ t aj n ə
meteorsteine	m ɛ tʰ ɛ ɔ ʁ ʃ t aj n ə
meinesteils	m aj n ɛ s t aj l s
märtyrer	m ɛ ʁ tʰ ʏ ʁ ə ʁ
metier	m eː tʰ iː ɐ
metier	m ɛ tʰ iː ɐ
märtyrertum	m ɛ ʁ tʰ ʏ ʁ ə ʁ tʰ uː m
meuchelmörderischerweise	m ɔʏ ç l̩ m œ ʁ d ɐ ʁ ɪ ʃ ɐ v aj z ə
möbelstücke	m øː b l̩ ʃ t ʏ kʰ ə
mietweise	m iː t v aj z ə
meinungslos	m aj n ʊ ŋ s l oː s
möchten	m œ ç tʰ n̩
miideratempel	m aj d ə ʁ a tʰ ɛ m pʰ l̩
miideratempel	m aj iː d ə ʁ a tʰ ɛ m pʰ l̩
miideratempel	m aj ɪ d ɛ ʁ a tʰ ɛ m pʰ l̩
miideratempel	m iː d ə ʁ a tʰ ɛ m pʰ l̩
miideratempel	m iː d ɛ ʁ a tʰ ɛ m pʰ l̩
miideratempel	m iː iː d ə ʁ a tʰ ɛ m pʰ l̩
miideratempel	m iː ɪ d ɛ ʁ a tʰ ɛ m pʰ l̩
miideratempel	m ɪ d ɛ ʁ a tʰ ɛ m pʰ l̩
miideratempel	m ɪ ts iː d ə ʁ a tʰ ɛ m pʰ l̩
mögen	m øː ɡ n̩
mikroskop	m ɪ k ʁ ɔ s k oː p
möget	m øː ɡ ə t
mikroskope	m ɪ k ʁ ɔ s k oː pʰ ə
möglich	m øː k l ɪ ç
mikroskopen	m ɪ k ʁ ɔ s k oː pʰ n̩
meisterstück	m aj s t ɐ ʃ t ʏ k
möglicher	m øː k l ɪ ç ɐ
mikroskopische	m ɪ k ʁ ɔ s k oː pʰ ɪ ʃ ə
melancholischen	m ɛ l a n ʃ oː l ɪ ʃ n̩
mönch	m œ ɲ ç
mikroskopisten	m ɪ k ʁ ɔ s k oː pʰ ɪ s t n̩
milchstraße	m ɪ l ç ʃ t ʁ aː s ə
mildem	m ɪ l d m̩
mönchen	m œ ɲ ç n̩
mildere	m ɪ l d ə ʁ ə
mörderisch	m œ ʁ d ɐ ʁ ɪ ʃ
milliardenmal	m ɪ l j aː d n̩ m aː l
melodischen	m ɛ l oː d ɪ ʃ n̩
minaretts	m ɪ n a ʁ ɛ t s
menschenantlitz	m ɛ n ʃ n̩ a n t l ɪ ts
menschenantlitz	m ɛ n ʃ ɛ n a n t l ɪ ts
mörderlich	m œ ʁ d ɐ l ɪ ç
mindeste	m ɪ n d ə s t ə
minen	m iː n n̩
minute	m ɪ n uː tʰ ə
mühen	m yː n̩
menschengedränge	m ɛ n ʃ n̩ ɡ ə d ʁ ɛ ŋ ə
minuten	m ɪ n uː tʰ n̩
mühlen	m yː l n̩
menschengestalt	m ɛ n ʃ n̩ ɡ ə ʃ t a l t
mühseligen	m yː z eː l ɪ ɡ n̩
menschenkind	m ɛ n ʃ n̩ cʰ ɪ n t
menschenkind	m ɛ n ʃ ə ɲ cʰ ɪ n t
mischte	m ɪ ʃ t ə
mühte	m yː tʰ ə
menschenkörper	m ɛ n ʃ ə ɲ cʰ œ ʁ pʰ ɐ
misogyn	m ɪ z ɔ ɟ yː n
mühten	m yː tʰ n̩
mürrisch	m ʏ ʁ ɪ ʃ
menschenleibern	m ɛ n ʃ n̩ l aj b ɐ n
mitarbeiten	m ɪ tʰ a ʁ b aj tʰ n̩
mürrisches	m ʏ ʁ ɪ ʃ ə s
menschenmengen	m ɛ n ʃ n̩ m ɛ ŋ n̩
müssen	m ʏ s n̩
menschenscheue	m ɛ n ʃ n̩ ʃ ɔʏ ə
mitgeteilt	m ɪ t ɡ ə tʰ aj l t
mütter	m ʏ tʰ ɐ
menschensohn	m ɛ n ʃ n̩ z oː n
mitglied	m ɪ t ɡ l iː t
mütterchen	m ʏ tʰ ɐ ç n̩
menschenverstande	m ɛ n ʃ n̩ f ɛ ɐ ʃ t a n d ə
menschlichen	m ɛ n ʃ l ɪ ç n̩
merke	m ɛ ʁ kʰ ə
müßt	m yː s t
müßt	m ʏ s t
mithin	m ɪ t h ɪ n
mitleiden	m ɪ t l aj d n̩
müßte	m yː s t
müßte	m yː s t ə
müßte	m ʏ s t
müßte	m ʏ s t ə
merkte	m ɛ ʁ k tʰ ə
mittagsschlaf	m ɪ tʰ aː k s ʃ l aː f
merkutio	m ɛ ʁ kʰ uː t s j ɔ
merkutio	m ɛ ʁ kʰ ʊ t s j ɔ
müßten	m yː s t n̩
müßten	m ʏ s t n̩
merkwürdige	m ɛ ʁ k v ʏ ʁ d ɪ ɡ ə
mitteilte	m ɪ tʰ aj l tʰ ə
na	n a
na	n aː
mittel	m ɪ tʰ l̩
nabel	n aː b l̩
merkwürdigkeiten	m ɛ ʁ k v ʏ ʁ d ɪ ç kʰ aj tʰ n̩
mittelmeeres	m ɪ tʰ l̩ m eː ʁ ə s
nach	n aː x
messern	m ɛ s ɐ n
mitteln	m ɪ tʰ ə l n
nachbarinnen	n a x b aː ʁ ɪ n n̩
messingbecken	m ɛ s ɪ ŋ b ɛ kʰ n̩
nachdenklich	n aː x d ɛ ŋ k l ɪ ç
messingsäulen	m ɛ s ɪ ŋ z ɔʏ l n̩
mittelpunkt	m ɪ tʰ l̩ pʰ ʊ ŋ k t
nachdruck	n aː x d ʁ ʊ k
nachfolgen	n aː x f ɔ l ɡ n̩
nachforschungen	n aː x f ɔ ʁ ʃ ʊ ŋ n̩
mittelst	m ɪ tʰ l̩ s t
mittelst	m ɪ tʰ l̩ ʃ
nachgerühmt	n aː x ɡ ʁ yː m t
metalle	m ɛ tʰ a l ə
nachhall	n aː x h a l
mitzubringen	m ɪ ts uː b ʁ ɪ ŋ n̩
nachhängen	n aː x h ɛ ŋ n̩
nachlaß	n a x l s
nachlaß	n a x l ɛ s
nachlaß	n aː x l a s
nachlaß	n aː x l aː s
nachlaß	n aː x l aː v s
nachlaß	n aː x l s
nachlaß	n aː x l ɛ s
nachmittag	n aː x m ɪ tʰ a x
nachmittag	n aː x m ɪ tʰ aː k
nachricht	n aː x ʁ ɪ ç t
nachschauen	n aː x ʃ aw n̩
nachsehen	n aː x z eː n̩
nachstellung	n aː x ʃ t ɛ l ʊ ŋ
mißbehagte	m aj s b ə h aː k tʰ ə
mißbehagte	m aj s b ə h aː x tʰ ə
mißbehagte	m s b ə h aː k tʰ ə
mißbehagte	m s b ə h aː x tʰ ə
metallspiegel	m ɛ tʰ a l ʃ p iː ɡ l̩
nacht	n a x t
mißglückte	m aj s ɡ l ʏ k tʰ ə
mißglückte	m s ɡ l ʏ k tʰ ə
meterlange	m eː tʰ ɐ l a ŋ ə
methodischer	m ɛ tʰ oː d ɪ ʃ ɐ
mißmut	m aj s m uː t
mißmut	m s m uː t
nachteiliges	n aː x tʰ aj l ɪ ɡ ə s
mißmuts	m aj s m uː t s
mißmuts	m s m uː t s
nachtherz	n a x t h ɛ ʁ ts
mißraten	m aj s ɛ ʁ aː tʰ n̩
mißraten	m aj s ʁ aː tʰ n̩
mißraten	m s ɛ ʁ aː tʰ n̩
mißraten	m s ʁ aː tʰ n̩
mieder	m iː d ɐ
nachtigallenmännchen	n a x tʰ ɪ ɡ a l ə n m ɛ ɲ ç n̩
mißratner	m aj s ʁ aː t n ɐ
mißratner	m s ʁ aː t n ɐ
nachtprozessionen	n a x t p ʁ ɔ ts ɛ s ɪ oː n n̩
nachts	n a x t s
nachts	n a x ts
nachtwanderer	n a x t v a n d ə ʁ ɐ
mißtönend	m aj s t øː n ə n t
mißtönend	m aj s tʰ øː n ə n t
mißtönend	m s t øː n ə n t
mißtönend	m s tʰ øː n ə n t
mignon	m ɪ n j ɔ ŋ
nachtzeit	n a x ts aj t
mißtönende	m aj s t øː n ə n d ə
mißtönende	m aj s tʰ øː n ə n d ə
mißtönende	m s t øː n ə n d ə
mißtönende	m s tʰ øː n ə n d ə
nachweis	n aː x v aj s
mißverstand	m aj s f ɛ ɐ ʃ t a n t
mißverstand	m s f ɛ ɐ ʃ t a n t
nachzugeben	n aː x ts uː ɟ eː b n̩
mocht	m ɔ x t
nachzugrübeln	n aː x ts uː ɡ ʁ yː b l̩ n
nachzugrübeln	n aː x ts uː ɡ ʁ yː b ə l n
nachzuleben	n aː x ts uː l eː b n̩
nachzuleben	n aː x ts ʊ l eː b n̩
mikroskopischen	m ɪ k ʁ ɔ s k oː pʰ ɪ ʃ n̩
nachzuweisen	n aː x ts uː v aj z n̩
nackten	n a k tʰ n̩
modernen	m ɔ d ɛ ʁ n n̩
mikroskops	m ɪ k ʁ ɔ s k oː p s
nadeln	n aː d l̩ n
nagel	n aː ɡ l̩
nagendem	n a ɟ ɛ n d m̩
milde	m ɪ l d ə
nahm	n aː m
molenmauer	m oː l ə n m aw ɐ
nahmen	n aː m n̩
monaten	m oː n a tʰ n̩
mond	m oː n t
nahmet	n aː m ə t
milden	m ɪ l d n̩
nahrungsmitteln	n aː ʁ ʊ ŋ s m ɪ tʰ ə l n
militär	m ɪ l ɪ tʰ eː ɐ
mondaufgang	m oː n tʰ aw f ɡ a ŋ
namenloser	n aː m ə n l oː z ɐ
millionenfingriges	m ɪ l j oː n ə n f ɪ ŋ ʁ ɪ ɡ ə s
mondesschimmer	m oː n d ə s ʃ ɪ m ɐ
nannte	n a n tʰ ə
mindesten	m ɪ n d ə s t n̩
mondkugel	m oː n t kʰ uː ɡ l̩
naphthafeuer	n a f tʰ aː f ɔʏ ɐ
mondlicht	m oː n t l ɪ ç t
mirs	m iː ɐ s
narrenorden	n a ʁ ə n ɔ ɐ d n̩
narrenorden	n a ʁ ə n ɔ ʁ d n̩
narrheit	n a ʁ h aj t
mondsteinen	m oː n t ʃ t aj n n̩
miserabelsten	m iː z ɛ ʁ aː b ə l s t n̩
nase	n aː z ə
mops	m ɔ p s
mitbringt	m ɪ t b ʁ ɪ ŋ t
moralischen	m ɔ ʁ a l ɪ s ç n̩
moralischen	m ɔ ʁ aː l ɪ ʃ n̩
morganischen	m ɔ ʁ ɡ a n ɪ s ç n̩
morganischen	m ɔ ʁ ɡ aː n ɪ ʃ n̩
nasser	n a s ɐ
morgengrau	m ɔ ʁ ɡ ŋ ɡ ʁ aw
mitgliedern	m ɪ t ɡ l iː d ɐ n
natur	n a tʰ uː ɐ
morgenrot	m ɔ ʁ ɡ ə n ʁ oː t
morgenröte	m ɔ ʁ ɡ n̩ ʁ øː tʰ ə
mitsprechen	m ɪ t ʃ p ʁ ɛ ç n̩
naturforschers	n a tʰ uː ɐ f ɔ ʁ ʃ ɐ s
morgenschönheit	m ɔ ʁ ɡ n̩ ʃ øː n h aj t
morgenschönheit	m ɔ ʁ ɡ ə n ʃ øː n h aj t
mittaglicht	m ɪ tʰ aː k l ɪ ç t
naturhölzer	n a tʰ uː ɐ h œ l ts ɐ
morgenstraßen	m ɔ ʁ ɡ n̩ ʃ t ʁ aː s n̩
mittagstunde	m ɪ tʰ a k ʃ t ʊ n d ə
naturkunde	n a tʰ uː ɐ kʰ ʊ n d ə
morgenwind	m ɔ ʁ ɡ n̩ v ɪ n t
mitteilen	m ɪ tʰ aj l n̩
natürliche	n a tʰ yː ʁ l ɪ ç ə
mozarts	m oː ts a ʁ t s
natürlicher	n a tʰ yː ʁ l ɪ ç ɐ
mund	m ʊ n t
mittelmeer	m ɪ tʰ l̩ m eː ɐ
natürlichste	n a tʰ yː ʁ l ɪ ç s t ə
mittelmeerhimmel	m ɪ tʰ l̩ m eː ɐ h ɪ m l̩
nebels	n eː b ə l s
mittels	m ɪ tʰ l̩ s
nebelwische	n eː b l̩ v ɪ ʃ ə
mittelsorte	m ɪ tʰ l̩ z ɔ ʁ tʰ ə
nebeneinander	n eː b n̩ aj n a n d ɐ
nebeneinander	n eː b ə n aj n a n d ɐ
muntern	m ʊ n tʰ ɐ n
mittlere	m ɪ t l ɐ
nebenzimmer	n eː b n̩ ts ɪ m ɐ
muntre	m ʊ n t ʁ ə
mittleren	m ɪ t l ɐ n
necken	n ɛ kʰ n̩
mitzuteilen	m ɪ ts uː tʰ aj l n̩
neckerei	n ɛ kʰ ə ʁ aj
murmeln	m ʊ ʁ m l̩ n
murmeln	m ʊ ʁ m ə l n
mißfällt	m aj s f ɛ l t
mißfällt	m s f ɛ l t
neglig	n ɛ ɡ l ɪ k
mißhandeln	m aj s h a n d l̩ n
mißhandeln	m aj s ɛ h a n d l̩ n
mißhandeln	m s h a n d l̩ n
nehme	n eː m ə
murmelten	m ʊ ʁ m l̩ tʰ n̩
mißkennt	m aj s c ɛ n t
mißkennt	m aj s cʰ ɛ n t
mißkennt	m aj s ɛ n t
mißkennt	m s cʰ ɛ n t
nehmen	n eː m n̩
muschelkette	m ʊ ʃ l̩ cʰ ɛ tʰ ə
muschelkette	m ʊ ʃ ə l cʰ ɛ tʰ ə
mißlungen	m aj s l ʊ ŋ n̩
mißlungen	m s l ʊ ŋ n̩
nehmt	n eː m t
mißmütiger	m aj s m yː tʰ ɪ ɡ ɐ
mißmütiger	m s m yː tʰ ɪ ɡ ɐ
neid	n aj t
musikalischer	m ʊ z ɪ kʰ aː l ɪ ʃ ɐ
mißstimmung	m aj s ʃ t ɪ m ʊ ŋ
mißstimmung	m s ʃ t ɪ m ʊ ŋ
neidischen	n aj d ɪ ʃ n̩
muskeln	m ʊ s k l̩ n
muskeln	m ʊ s k ə l n
mißtrauisch	m aj s t ʁ aw ɪ ʃ
mißtrauisch	m s t ʁ aw ɪ ʃ
nenne	n ɛ n ə
muster	m ʊ s t ɐ
mißverhältnis	m aj s f ɛ ɐ h ɛ l t n ɪ s
mißverhältnis	m s f ɛ ɐ h ɛ l t n ɪ s
nennen	n ɛ n n̩
nennt	n ɛ n t
mißverständnissen	m aj s f ɛ ɐ ʃ t ɛ n t n ɪ s n̩
mißverständnissen	m s f ɛ ɐ ʃ t ɛ n t n ɪ s n̩
mutig	m uː tʰ ɪ k
mutig	m uː tʰ ɪ ç
nerven	n ɛ ʁ f n̩
molanus	m ɔ l aː n ʊ s
nervenfieber	n ɛ ʁ v ə n f iː b ɐ
monate	m oː n a tʰ ə
nervenzufällen	n ɛ ʁ f n̩ ts uː f ɛ l n̩
nervenzufällen	n ɛ ʁ v ə n ts uː f ɛ l n̩
netz	n ɛ ts
muttermilch	m ʊ tʰ ɐ m ɪ l ç
netzes	n ɛ ts ə s
neue	n ɔʏ ə
mußtet	m a s t
mußtet	m a s t ə t
mußtet	m s t ə t
mußtet	m ʊ s t
mußtet	m ʊ s t ə t
mystisch	m ʏ s t ɪ ʃ
mondesscheibe	m oː n d ə s ʃ aj b ə
neuem	n ɔʏ m̩
mystischen	m ʏ s t ɪ ʃ n̩
mystizismus	m ʏ s t ɪ ts ɪ s m ʊ s
mondhellen	m oː n t h ɛ l n̩
mächtigen	m ɛ ç tʰ ɪ ɡ n̩
mondköpfchens	m oː n t cʰ œ pf ç n̩ s
neuen	n ɔʏ n̩
mondnebel	m oː n t n eː b l̩
neues	n ɔʏ ə s
neugeboren	n ɔʏ ɡ ə b oː ʁ n̩
moos	m oː s
moosigen	m oː z ɪ ɡ n̩
mord	m ɔ ʁ t
neugierde	n ɔʏ ɟ iː ɐ d ə
mordes	m ɔ ʁ d ə s
mädchengesichter	m eː t ç ə n ɡ ə z ɪ ç tʰ ɐ
neugierigen	n ɔʏ ɟ iː ʁ ɪ ɡ n̩
mordwaffe	m ɔ ʁ t v a f ə
männer	m ɛ n ɐ
neuling	n ɔʏ l ɪ ŋ
männeraugen	m ɛ n ɐ aw ɡ n̩
neun	n ɔʏ n
männerkehlen	m ɛ n ɐ cʰ eː l n̩
neunte	n ɔʏ n tʰ ə
neunundneunzig	n ɔʏ n ʊ n t n ɔʏ n ts ɪ ç
nicht	n ɪ ç t
nichts	n ɪ ç ts
männlein	m ɛ n l aj n
morgendampf	m ɔ ʁ ɡ n̩ d a m pf
männlichen	m ɛ n l ɪ ç n̩
nickt	n ɪ k t
nickte	n ɪ k tʰ ə
märchen	m eː ɐ ç n̩
märchen	m ɛ ɐ ç n̩
nie	n iː
märchenhaften	m ɛ ɐ ç n̩ h a f tʰ n̩
morgensonnige	m ɔ ʁ ɡ ə n z ɔ n ɪ ɡ ə
morgentau	m ɔ ʁ ɡ n̩ tʰ aw
mortuum	m ɔ ʁ tʰ ʊ ʊ m
motiven	m ɔ tʰ iː v n̩
märchenschreiber	m ɛ ɐ ç n̩ ʃ ʁ aj b ɐ
nieder	n iː d ɐ
muhme	m uː m ə
märz	m ɛ ʁ ts
niedergekauert	n iː d ɐ ɡ ə kʰ aw ɐ t
niedergelegt	n iː d ɐ ɡ ə l eː k t
niedergeschlagenem	n iː d ɐ ɡ ə ʃ l aː ɡ ə n m̩
mäßige	m eː s ɪ ɡ ə
mäßige	m eː ə s ɪ ɡ ə
mäßige	m s ɪ ɡ ə
mäßige	m ɛ s ɪ ɡ ə
mäßige	s ɪ ɡ ə
niederschlug	n iː d ɐ ʃ l uː k
möbel	m øː b l̩
niedersinken	n iː d ɐ z ɪ ŋ kʰ n̩
niederzuschlagen	n iː d ɐ ts uː ʃ l aː ɡ n̩
munteres	m ʊ n tʰ ɐ ɛ s
munteres	m ʊ n tʰ ə ʁ ə s
